term,mean_tfidf,class_
susah sekali login,0.001339,netral
proses verifikasi,0.001335,netral
masuk terus,0.001328,netral
buat update,0.00132,netral
malah ga login,0.001316,netral
sering susah masuk,0.001306,netral
internet,0.001302,netral
udah hari,0.001302,netral
bahkan,0.001301,netral
tingkat cepat,0.0013,netral
rumit,0.0013,netral
tidak masuk terus,0.001298,netral
gitu,0.001298,netral
berat aplikasi,0.001297,netral
sekali login,0.001288,netral
mula,0.001287,netral
tidak log in,0.001283,netral
bang,0.001279,netral
terupdate,0.001276,netral
tidak log,0.001275,netral
sering susah,0.001274,netral
maklum,0.001273,netral
koreksi,0.00127,netral
hp yg,0.001268,netral
kndala,0.001262,netral
notif,0.001261,netral
dgn,0.001257,netral
android versi,0.001257,netral
masuk nya,0.001255,netral
banyak update,0.001251,netral
login admin,0.001251,netral
rekap hasil milu,0.001232,netral
solusi terima,0.00123,netral
moga baik,0.001227,netral
galeri,0.001222,netral
inisial gagal,0.001213,netral
berat,0.001205,netral
sertifikat mohon,0.001203,netral
msih,0.001202,netral
trouble,0.001201,netral
keluar sendiri,0.001197,netral
masuk akun,0.001193,netral
username password salah,0.001188,netral
deteksi,0.001185,netral
masukin,0.001185,netral
flash,0.001179,netral
malah ga,0.001178,netral
mohon maaf,0.001178,netral
tdk masuk,0.001177,netral
blum maksimal,0.001175,netral
upload foto,0.001169,netral
lemooot,0.001168,netral
cupu,0.001168,netral
dokumen,0.001167,netral
password bagaimana,0.001159,netral
buruk,0.005777,negatif
jelek,0.005082,negatif
layak,0.004016,negatif
negara,0.003757,negatif
mudah malah,0.00359,negatif
bukan mudah,0.003385,negatif
malah sulit,0.003304,negatif
kelas,0.002981,negatif
buat aplikasi,0.002909,negatif
mending,0.002757,negatif
usah,0.002692,negatif
aplikasi belum siap,0.002607,negatif
bener,0.002596,negatif
nyusahin,0.00258,negatif
anggar,0.002499,negatif
bikin aplikasi,0.002472,negatif
masa,0.002439,negatif
aplikasi gak,0.002336,negatif
bukan mudah malah,0.00228,negatif
sampah,0.002183,negatif
payah,0.00215,negatif
digitalisasi,0.002147,negatif
hambat,0.002098,negatif
mudah malah sulit,0.002041,negatif
begini,0.001997,negatif
dekat,0.001952,negatif
cuma,0.001946,negatif
sangat buruk,0.001942,negatif
aneh,0.001922,negatif
niat,0.001886,negatif
belum layak,0.001882,negatif
siap guna,0.001811,negatif
bikin pusing,0.001806,negatif
satu,0.001794,negatif
sama sekali,0.001761,negatif
kayak,0.001754,negatif
matang,0.001752,negatif
beban,0.001697,negatif
buat login,0.001692,negatif
repot,0.001658,negatif
jangan paksa,0.001646,negatif
habis,0.001641,negatif
terlalu paksa,0.001622,negatif
jgn,0.001614,negatif
login aja susah,0.0016,negatif
apl,0.001557,negatif
aplikasi ga,0.001551,negatif
kacau,0.001548,negatif
abal,0.001545,negatif
kalau belum,0.00152,negatif
aplikasi buat,0.001491,negatif
blm siap,0.001488,negatif
besar,0.001484,negatif
it,0.001472,negatif
tidak layak,0.001463,negatif
aplikasi apa,0.001459,negatif
kek,0.001457,negatif
gak jelas,0.001456,negatif
busuk,0.001438,negatif
paling,0.001422,negatif
malah bikin,0.001404,negatif
gajelas,0.001397,negatif
gabisa login,0.001393,negatif
ampun,0.001389,negatif
aplikasi susah,0.001375,negatif
