term,mean_tfidf,class_
lot,0.00352,negatif
dapat,0.003516,negatif
bukan mudah,0.003385,negatif
pusing,0.003369,negatif
malah sulit,0.003304,negatif
kamera,0.003303,negatif
proses,0.003274,negatif
perintah,0.003227,negatif
kendala,0.003194,negatif
akses,0.003111,negatif
sekarang,0.003094,negatif
sistem,0.003058,negatif
tdk,0.003051,negatif
dong,0.003014,negatif
kunci,0.003006,negatif
upload,0.002992,negatif
kelas,0.002981,negatif
ulang,0.00298,negatif
susah login,0.00295,negatif
servernya,0.002915,negatif
buat aplikasi,0.002909,negatif
download,0.002899,negatif
orang,0.002888,negatif
emo_sedih,0.00286,negatif
indonesia,0.002847,negatif
login aja,0.002834,negatif
sih,0.002826,negatif
tambah,0.002802,negatif
apk nya,0.002799,negatif
gagal terus,0.002796,negatif
gak login,0.002795,negatif
kata,0.002762,negatif
mending,0.002757,negatif
semua,0.002755,negatif
makin,0.002742,negatif
loading,0.00274,negatif
pas hari,0.00273,negatif
usah,0.002692,negatif
bagaimana,0.002685,negatif
lambat,0.002684,negatif
benar,0.002674,negatif
gagal dapat,0.002661,negatif
uji,0.002646,negatif
tetap,0.002633,negatif
sertifikat,0.002617,negatif
aplikasi belum siap,0.002607,negatif
bener,0.002596,negatif
nyusahin,0.00258,negatif
udh,0.002536,negatif
hapus,0.002509,negatif
anggar,0.002499,negatif
app,0.002492,negatif
aja susah,0.00249,negatif
sendiri,0.002475,negatif
bikin aplikasi,0.002472,negatif
mau login,0.002471,negatif
simulasi,0.002442,negatif
masa,0.002439,negatif
tugas,0.002436,negatif
gambar,0.002422,negatif
bintang,0.002405,negatif
invalid,0.002402,negatif
sesuai,0.002401,negatif
tingkat,0.002391,negatif
aplikasi yg,0.002381,negatif
nih,0.002371,negatif
developer,0.00236,negatif
biar,0.002349,negatif
aplikasi gak,0.002336,negatif
solusi,0.002329,negatif
harus,0.002323,negatif
nasional,0.002322,negatif
minta,0.002314,negatif
klo,0.002297,negatif
kaya,0.002288,negatif
tidak masuk,0.002288,negatif
bukan mudah malah,0.00228,negatif
tp,0.002279,negatif
susah masuk,0.002253,negatif
tahun,0.002248,negatif
segera,0.002238,negatif
baca,0.002228,negatif
curang,0.00221,negatif
pilih,0.00221,negatif
aplikasi sangat,0.002206,negatif
perlu,0.002203,negatif
sampah,0.002183,negatif
si,0.002178,negatif
lancar,0.002169,negatif
penting,0.002155,negatif
payah,0.00215,negatif
digitalisasi,0.002147,negatif
suruh,0.002127,negatif
sertifikat digital,0.00211,negatif
cepat,0.002109,negatif
cara,0.002108,negatif
hambat,0.002098,negatif
banyak bug,0.002091,negatif
kasih,0.002087,negatif
akun,0.002082,negatif
ganti,0.002079,negatif
sampe,0.002079,negatif
kualitas,0.002077,negatif
awal,0.002075,negatif
bgt,0.002067,negatif
keluar,0.002062,negatif
manual,0.002061,negatif
suara,0.00206,negatif
mudah malah sulit,0.002041,negatif
mana,0.002016,negatif
emo_lainnya emo_lainnya emo_lainnya,0.002009,negatif
begini,0.001997,negatif
kembang,0.001979,negatif
ni,0.001958,negatif
dekat,0.001952,negatif
dah,0.001951,negatif
hitung,0.001947,negatif
cuma,0.001946,negatif
selalu gagal,0.001943,negatif
sangat buruk,0.001942,negatif
kirim,0.001927,negatif
beberapa,0.001923,negatif
aneh,0.001922,negatif
trus,0.001904,negatif
rekap,0.001887,negatif
niat,0.001886,negatif
belum layak,0.001882,negatif
instal,0.001879,negatif
kan,0.001878,negatif
uji coba,0.001847,negatif
dapat sertifikat,0.00184,negatif
aplikasi sirekap,0.00184,negatif
min,0.001835,negatif
memang,0.001829,negatif
siap guna,0.001811,negatif
buang,0.001809,negatif
bikin pusing,0.001806,negatif
sdh,0.001796,negatif
satu,0.001794,negatif
laku,0.001791,negatif
username password,0.001787,negatif
emo_senang emo_senang,0.001783,negatif
dipake,0.00177,negatif
sama sekali,0.001761,negatif
jaring,0.001761,negatif
kayak,0.001754,negatif
jari,0.001752,negatif
matang,0.001752,negatif
eror terus,0.001748,negatif
tidak buka,0.001737,negatif
moga,0.001729,negatif
android,0.001727,negatif
gak masuk,0.001726,negatif
jam,0.001722,negatif
ga login,0.001721,negatif
lelet,0.001719,negatif
kunci digital,0.001718,negatif
tetep,0.001714,negatif
jauh,0.001711,negatif
ngga,0.001705,negatif
beban,0.001697,negatif
pasword,0.001694,negatif
buat login,0.001692,negatif
tinggal,0.00169,negatif
versi tidak,0.001682,negatif
sidik,0.001681,negatif
tak,0.00168,negatif
langsung,0.001673,negatif
sidik jari,0.001667,negatif
out,0.001667,negatif
sandi,0.001664,negatif
repot,0.001658,negatif
pak,0.001648,negatif
jangan paksa,0.001646,negatif
update malah,0.001646,negatif
user,0.001645,negatif
habis,0.001641,negatif
gagal dapat sertifikat,0.001633,negatif
terlalu paksa,0.001622,negatif
mungkin,0.001618,negatif
jgn,0.001614,negatif
guna aplikasi,0.001603,negatif
fitur,0.001603,negatif
login aja susah,0.0016,negatif
apknya,0.001597,negatif
anggota,0.001591,negatif
tulis,0.001576,negatif
mohon baik,0.001571,negatif
jalan,0.001566,negatif
apl,0.001557,negatif
verifikasi,0.001555,negatif
aplikasi ga,0.001551,negatif
kacau,0.001548,negatif
abal,0.001545,negatif
tiba,0.00152,negatif
kalau belum,0.00152,negatif
dapat sertifikat digital,0.001519,negatif
maksimal,0.001505,negatif
versi tidak guna,0.001497,negatif
lebih baik,0.001492,negatif
selesai,0.001491,negatif
aplikasi buat,0.001491,negatif
blm siap,0.001488,negatif
ga masuk,0.001486,negatif
besar,0.001484,negatif
it,0.001472,negatif
gagal login,0.001471,negatif
dapat kunci,0.001467,negatif
sabar,0.001463,negatif
tidak layak,0.001463,negatif
aplikasi apa,0.001459,negatif
kek,0.001457,negatif
gak jelas,0.001456,negatif
maaf,0.001452,negatif
punya,0.00145,negatif
lupa,0.001449,negatif
banyak kendala,0.001444,negatif
busuk,0.001438,negatif
paling,0.001422,negatif
daftar,0.001412,negatif
malah bikin,0.001404,negatif
gajelas,0.001397,negatif
gabisa login,0.001393,negatif
login susah,0.001391,negatif
ampun,0.001389,negatif
masuk aplikasi,0.00138,negatif
segera baik,0.001377,negatif
aplikasi versi,0.001376,negatif
aplikasi susah,0.001375,negatif
error terus,0.001374,negatif
dana,0.001361,negatif
pernah,0.00136,negatif
server down,0.001358,negatif
sangat tidak,0.001358,negatif
dapat kunci digital,0.001348,negatif
tau,0.001343,negatif
login padahal,0.001341,negatif
bs,0.001339,negatif
aplikasi buruk,0.001336,negatif
cacat,0.001332,negatif
install,0.001332,negatif
muncul,0.001327,negatif
tolol,0.001318,negatif
kaya gin,0.001314,negatif
aplikasi jelek,0.00131,negatif
kemarin,0.00131,negatif
doang,0.00131,negatif
butuh,0.001302,negatif
belum siap guna,0.0013,negatif
mau masuk,0.001297,negatif
utk,0.001292,negatif
update versi,0.001292,negatif
aplikasi banyak,0.001287,negatif
anggota kpps,0.001285,negatif
ko,0.001282,negatif
belum login,0.00128,negatif
aplikasi gagal,0.00128,negatif
ga jelas,0.001274,negatif
kerja kpps,0.001268,negatif
burik,0.001267,negatif
tpi,0.001261,negatif
bom,0.001259,negatif
susah banget,0.001259,negatif
siap jangan,0.001259,negatif
ambil,0.001256,negatif
pagi,0.001252,negatif
aplikasi tidak guna,0.001246,negatif
aplikasi bikin,0.001241,negatif
aplikasi sampah,0.00124,negatif
balik,0.001238,negatif
emo_sedih emo_sedih,0.001238,negatif
sempurna,0.001238,negatif
mah,0.001235,negatif
bimtek,0.00123,negatif
ubah,0.00123,negatif
nyata,0.001227,negatif
kalau belum siap,0.001227,negatif
pakai aplikasi,0.001223,negatif
lalu,0.001223,negatif
serentak,0.001223,negatif
sangat sulit,0.001222,negatif
karna,0.001217,negatif
edit,0.001217,negatif
logout,0.001214,negatif
pihak,0.001213,negatif
aplikasi perintah,0.001211,negatif
berapa,0.001203,negatif
layak guna,0.001202,negatif
macam,0.001191,negatif
gagal dapat kunci,0.001187,negatif
gmn,0.001183,negatif
emang,0.001178,negatif
minimal,0.001175,negatif
lg,0.001175,negatif
aplikasi sulit,0.001172,negatif
rakyat,0.00117,negatif
an,0.00116,negatif
seluruh,0.001157,negatif
ram,0.001155,negatif
ada,0.001153,negatif
depan,0.001149,negatif
maksa,0.001146,negatif
bikin ribet,0.001146,negatif
login gagal,0.001145,negatif
deh,0.001143,negatif
tgl,0.001143,negatif
email,0.001142,negatif
nama,0.001136,negatif
angka,0.001134,negatif
emo_marah,0.001134,negatif
gk login,0.001134,negatif
aku,0.00113,negatif
aktivasi,0.001123,negatif
tugas kpps,0.00112,negatif
sering eror,0.00112,negatif
aplikasi versi tidak,0.001112,negatif
kalo belum,0.001108,negatif
operasi,0.001108,negatif
seperti,0.001103,negatif
rusak,0.001103,negatif
biasa,0.001101,negatif
nambah,0.001098,negatif
gara,0.001098,negatif
pake aplikasi,0.001087,negatif
gak usah,0.001084,negatif
jadi salah,0.00108,negatif
minta ampun,0.001079,negatif
terang,0.001078,negatif
log out,0.001074,negatif
submit,0.00107,negatif
si rekap,0.001067,negatif
siap pakai,0.001066,negatif
kecewa,0.001065,negatif
sulit login,0.001064,negatif
admin,0.001064,negatif
emo_senang emo_senang emo_senang,0.001061,negatif
ampas,0.001061,negatif
bobrok,0.00106,negatif
fungsi,0.00106,negatif
wa,0.001057,negatif
erorr,0.001053,negatif
optimal,0.001049,negatif
baik aplikasi,0.001048,negatif
sulit kerja,0.001047,negatif
segala,0.001043,negatif
trs,0.001041,negatif
versi baru,0.001034,negatif
malam,0.001034,negatif
layak pakai,0.001032,negatif
belum siap jangan,0.001032,negatif
apk belum,0.00103,negatif
fokus,0.001027,negatif
terimakasih,0.001024,negatif
tps,0.001024,negatif
besok,0.001024,negatif
emosi,0.001021,negatif
login aplikasi,0.00102,negatif
apk yg,0.001018,negatif
buruk sekali,0.001018,negatif
malah gak,0.001014,negatif
laksana,0.001013,negatif
perangkat,0.001012,negatif
ngak,0.001011,negatif
anak,0.001008,negatif
capek,0.001007,negatif
kali kali,0.001,negatif
malah tidak,0.000996,negatif
kaga,0.000996,negatif
luncur,0.000995,negatif
lambat kerja,0.000994,negatif
tiap,0.000992,negatif
hari milu,0.000991,negatif
menu,0.000986,negatif
soal,0.000983,negatif
aplikasi kurang,0.000982,negatif
gmna,0.000982,negatif
bsa,0.000981,negatif
ajar,0.00098,negatif
saran,0.000979,negatif
mumet,0.000977,negatif
padahal udah,0.000976,negatif
akhir,0.000974,negatif
banyak eror,0.000973,negatif
link,0.000973,negatif
bakal,0.000971,negatif
mutu,0.000971,negatif
malah jadi,0.00097,negatif
diupdate,0.000966,negatif
kalah,0.000964,negatif
timeout,0.00096,negatif
mampu,0.000955,negatif
bingung,0.000954,negatif
susah sekali,0.000954,negatif
atas,0.000952,negatif
