term,mean_tfidf,class_
puas,0.001438,positif
login nya,0.001431,positif
tidak masalah,0.001426,positif
makin,0.001422,positif
nice,0.00142,positif
selalu gagal,0.001416,positif
stabil,0.001415,positif
bagus mudah,0.001413,positif
bagus emo_senang,0.001409,positif
bgt,0.001404,positif
memang,0.001397,positif
depan,0.001393,positif
ayo,0.001385,positif
moga manfaat,0.001382,positif
nih,0.001378,positif
segera,0.001369,positif
apknya,0.001369,positif
gagal dapat,0.001369,positif
baguss,0.001366,positif
maintenance,0.001362,positif
paham,0.001359,positif
malah,0.001358,positif
ajar,0.001357,positif
lupa pasword,0.001356,positif
servernya,0.001356,positif
aplikasi tidak,0.001351,positif
bos,0.00135,positif
apk nya,0.001347,positif
mantapp,0.001342,positif
ka,0.001327,positif
sertifikat digital,0.001325,positif
tugas,0.001322,positif
bukan,0.001321,positif
ganti,0.001321,positif
baik aplikasi,0.001301,positif
tunggu,0.001297,positif
tp,0.001297,positif
kan,0.001297,positif
baharu,0.001289,positif
update baru,0.001288,positif
betul,0.001288,positif
pernah,0.001286,positif
ganggu,0.001281,positif
jam,0.001275,positif
aplikasi guna,0.001272,positif
batu,0.001267,positif
guna aplikasi,0.001267,positif
aplikasi mudah,0.001266,positif
gimana cara,0.001249,positif
pilpres,0.001248,positif
sirekap tidak,0.001248,positif
mudah kerja,0.001247,positif
tahap,0.001245,positif
alhamdulillah lancar,0.001243,positif
baca,0.001243,positif
hari tidak,0.001239,positif
aplikasi sangat bagus,0.001228,positif
susah login,0.001223,positif
tinggal,0.001221,positif
pake,0.001219,positif
awal,0.001218,positif
info,0.001211,positif
bagus aplikasi,0.001208,positif
lancar guna,0.001201,positif
maksimal,0.0012,positif
test,0.001198,positif
gagal terus,0.001197,positif
kak,0.001193,positif
lancar tidak,0.001189,positif
fitur,0.001184,positif
kode,0.001181,positif
go,0.001181,positif
kalo,0.001172,positif
loginnya,0.001171,positif
ko,0.001169,positif
gagal login,0.001165,positif
masuk sirekap,0.001165,positif
mudah lancar,0.001162,positif
nunggu,0.00116,positif
langsung,0.001157,positif
gambar,0.001154,positif
login sirekap,0.001153,positif
otentikasi,0.00115,positif
operator,0.00115,positif
tak,0.001147,positif
lihat,0.001146,positif
upgrade,0.001145,positif
gx,0.001144,positif
moga jalan,0.001143,positif
uji,0.001142,positif
submit,0.001142,positif
lancar pas,0.00114,positif
ios,0.001133,positif
sdh,0.00113,positif
fungsi,0.00113,positif
lebih cepat,0.001126,positif
ni,0.001125,positif
operasi,0.001122,positif
selesai,0.001121,positif
rekapitulasi,0.00112,positif
tahun,0.001115,positif
ikut,0.001115,positif
tunjuk,0.00111,positif
baik sangat,0.00111,positif
mas,0.001109,positif
jari,0.001103,positif
ga masuk,0.001097,positif
sirekap mantap,0.001088,positif
sinyal,0.001086,positif
mantap aplikasi,0.001084,positif
beberapa,0.001083,positif
